##用于轻量化提示，使用自定义按键上屏，键不得重码，需标明类型，用中文符号冒号分割，表情：😲	aa，将上屏 😲
一简：起	q
翻译：n.突然说出;射出	ejaculation
翻译：n.突然叫喊的人;射出肌	ejaculator
翻译：a.突然喊叫的;感叹的;射出性的	ejaculatory
翻译：vt.逐放;放逐;喷射 n.推断的事物	eject
翻译：a.驱逐;排泄;退壳	ejectable
翻译：n.喷出;排出物	ejection
翻译：a.放出的;喷出的;驱逐的	ejective
翻译：n.放逐;追逐出;排出	ejectment
翻译：n.驱逐者;排出器;放出器	ejector
翻译：vt.补充;增加	eke
翻译：a.精细的;详尽的;精心的 vt.详细地说明;用心地制作;推敲 vi.变复杂;作详细说明	elaborate
翻译：ad.苦心经营地;精巧地	elaborately
翻译：n.苦心经营;精巧	elaboration
翻译：a.仔细的;精心的;煞费苦心的	elaborative
翻译：n.油重计	elaeometer
翻译：n.大羚羊	eland
翻译：vi.逝去;过去 n.逝去;过去	elapse
翻译：v. vbl.过去;逝去	elapsed
翻译：n.松紧带;橡皮筋 a.有弹性的;能伸缩的;可通融的	elastic
翻译：n.弹力;弹性	elasticity
翻译：n.弹力素NUM	elastin
翻译：vt.使兴高采烈的;使得意	elate
翻译：a.兴高采烈的	elated
翻译：n.弹丝;弹虫	elater
翻译：n.得意洋洋;兴高采烈	elation
翻译：n.标高	elavation
翻译：n.手肘;急弯;扶手 vt. vi.用手肘推开;推挤	elbow
翻译：n.扶手椅子	elbowchair
翻译：adj.年长的	eldder
翻译：adj.年长的	elder
翻译：n.接骨木之果实;接骨木	elderberry
翻译：a.过了中年的;稍老的	elderly
翻译：n.尊长	elders
翻译：a.可怕的;可畏的	eldritch
翻译：n.当选人;被选的人;上帝的选民 a.被选的;选出的 vt.选举;选择 vi.作选择NUM	elect
翻译：a.有候选资格的	electable
翻译：n.选举;当选;选择权	election
翻译：vi.从事选举活动 n.从事选举活动	electioneer
翻译：a.选举的;根据选举的;选任的 n.选修课程	elective
翻译：n.有选举权的人;选举人	elector
翻译：a.选举人的;选举的;选帝侯的	electoral
翻译：n.选民;有选举权者;选区	electorate
翻译：n.女选举人;有选举权的女人;Elector的夫人	electress
翻译：a.导电的;电的;电动的	electric
翻译：a.电的;有关电的	electrical
翻译：n.电学家;电气技师;电气工	electrician
翻译：n.电;电流;电学;热情;电荷	electricity
翻译：n.电体	electrics
翻译：n.充电;带电;感电	electrification
翻译：vt.通电;上电;使感电;使充电;使电气化	electrify
翻译：a.电声的	electroacoustic
翻译：n.电生物学	electrobiology
翻译：n.心动电描记器	electrocardiograph
翻译：a.电气化学的	electrochemical
翻译：n.电凝固	electrocoagulation
翻译：vt.以电椅处死;以电击杀死;通电致死	electrocute
翻译：n.电刑;电死	electrocution
翻译：n.电极	electrode
翻译：a.电力学的	electrodynamic
翻译：n.电气力学	electrodynamics
翻译：n.脑波仪	electroencephalogram
翻译：n.电脑波测量图	electroencephalograph
翻译：n.电记录图	electrogram
翻译：n.电灯架	electrolier
翻译：n.电场发光;阴极耦合放大器	electroluminescence
翻译：electroluminescent display^ n.电场发光显示器lamp^ n.电场发光板panel^ n.电场发光板	electroluminescent
翻译：n.电分解;电解;以电针除痣	electrolysis
翻译：n.电解物;电解质;电解液	electrolyte
翻译：a.电解的;由电解产生的	electrolytic
翻译：vt.电解;用电分解	electrolyze
翻译：n.电磁石	electromagnet
翻译：a.电磁的;由电磁石产生的	electromagnetic
翻译：n.电磁;电磁学	electromagnetism
翻译：a.起电的	electromotive
翻译：n.电子	electron
翻译：n.电气麻醉	electronarcosis
翻译：a.电子的	electronic
翻译：ad.电子地	electronically
翻译：n.电子学	electronics
翻译：n.电垫	electropad
翻译：n.电泳	electrophoresis
翻译：n.使用电压来产生肌肉收缩	electropioscopy
翻译：vt.电镀 n.电镀物品	electroplate
翻译：a.阳电的;带阳电的;阳性的	electropositive
翻译：n.验电器	electroscope
翻译：n.电击疗法	electroshock
翻译：a.静电的;静电学的	electrostatic
翻译：n.静电学	electrostatics
翻译：n.电致伸缩	electrostriction
翻译：n.电疗学	electrotherapeutics
翻译：n.电疗法	electrotherapy
翻译：n.电热学	electrothermics
翻译：n.电版 vt.制成电版 vi.制电版	electrotype
翻译：n.银金矿	electrum
翻译：n.干药糖剂	electuary
翻译：a.施舍的;慈善的;接受接济的	eleemosynary
翻译：n.高雅;典雅;优雅	elegance
翻译：a.优雅的;端庄的;高雅的	elegant
翻译：n.哀歌;挽歌 a.哀歌体的;挽歌的NUM	elegiac
翻译：vt.作挽歌祭引;写成象挽歌一样 vi.作哀歌	elegise
翻译：n.挽歌作者	elegist
翻译：vt.作挽歌祭引;写成象挽歌一样 vi.作哀歌	elegize
翻译：n.悲歌;哀歌;挽歌	elegy
翻译：n.元件;元素;要素	element
翻译：a.元素的;基本的	elemental
翻译：a.初步的;基本的	elementary
翻译：n.原理;基础	elements
翻译：n.象NUM	elephant
翻译：n.象皮病	elephantiasis
翻译：a.象的;巨大的;粗笨的	elephantine
翻译：vt.举起;提拔;鼓舞	elevate
翻译：a.提高的NUM	elevated
翻译：n.标高	elevation
翻译：n.电梯;升降机	elevator
翻译：a.十一	eleven
翻译：a.第十一	eleventh
翻译：n.升降舵补助翼	elevon
翻译：n.小精灵;矮人;淘气鬼	elf
翻译：a.小妖精的;象小妖精的 n.小精灵;矮人;淘气鬼	elfin
翻译：a.如小精灵的;好恶作剧的;小妖精的	elfish
翻译：n.纠结的头发;卷发	elflock
翻译：vt.引出;抽出;引起	elicit
翻译：n.引出;诱出;抽出	elicitation
翻译：vt.省略;省略发音;取消NUM	elide
翻译：n.适任;合格	eligibility
翻译：a.可以选的;具有被选举资格的;合格的 n.有资格者;合格者;适任者	eligible
翻译：ad.可被选地;合宜地;适当地	eligibly
翻译：n.以利亚	Elijah
翻译：a.可消除的;可排除的;可消去的NUM	eliminable
翻译：vt.除去;排除;剔除;消除	eliminate
翻译：n.除去;消除;消灭	elimination
翻译：n.消去器	eliminator
翻译：n.消去器	eliminatro
翻译：n.元音省略	elision
翻译：n.精华;精锐;中坚分子	elite
翻译：n.精英主义	elitism
翻译：n.优秀人材;杰出人材 a.优秀人材的;杰出人材的	elitist
翻译：n.炼金药;不老长寿药;万能药	elixir
翻译：n.伊莉莎白	Elizabeth
翻译：a.伊莉莎白一世时代的;伊莉莎白女王的 n.伊莉莎白朝的人	Elizabethan
翻译：n.麋鹿	elk
翻译：n.猎鹿犬	elkhound
翻译：n.厄尔;L的字;L形之物	ell
翻译：pn.爱伦	Ellen
翻译：n.椭圆;椭圆形 n.椭圆	ellipse
翻译：n.省略;省略符号 n.省略号	ellipsis
翻译：n.椭圆体	ellipsoid
翻译：a.椭圆体的	ellipsoidal
翻译：a.椭圆形的	elliptic
翻译：a.椭圆的	elliptical
翻译：ad.椭圆形地;省略地	elliptically
翻译：n.榆树	elm
翻译：n.雄辩术;演说法	elocution
翻译：n.雄辩家;演说家NUM	elocutionist
翻译：n.神	Elohim
翻译：vt. vi.延长;(使)伸延 a.伸长的	elongate
翻译：n.伸长;延长;伸张度	elongation
翻译：vi.私奔;潜逃	elope
翻译：n.潜逃;私奔	elopement
翻译：n.口才;雄辩术;雄辩	eloquence
翻译：a.雄辩的;有口才的;动人的	eloquent
翻译：a.别的;其他的 ad.别的;另外的 conj.否则;不然	else
翻译：ad.在别处	elsewhere
翻译：vt.阐明;说明	elucidate
翻译：n.说明;阐明	elucidation
翻译：n.说明者;阐释者	elucidator
翻译：vt.逃避;规避;使困惑	elude
翻译：n.逃避;规避	elusion
翻译：a.难懂的;易忘的;难捉摸的	elusive
翻译：a.难以捉摸的	elusory
翻译：n.残积层的	eluvium
翻译：n.淡英斑岩	Elvan
翻译：a.小精灵的;淘气的	elvish
翻译：n.巴黎的法国总统官邸	elysee
翻译：a.乐土的;象天堂的	elysian
翻译：n.极乐世界;至福之境	Elysium
翻译：vt.使消瘦;使憔悴 vi.消瘦	emaciate
翻译：a.瘦弱的;衰弱的	emaciated
翻译：n.瘦弱;憔悴;衰弱	emaciation
翻译：vi.散发;发出;发源	emanate
翻译：n.散发;发出	emanation
翻译：a.发出的;发散的;发射性的	emanative
翻译：vt.释放;解放	emancipate
翻译：n.释放;解放	emancipation
翻译：n.释放者	emancipator
翻译：a.柔弱的 vt.阉割;使柔弱 a.阉割了的;柔弱的	emasculate
翻译：a.去势的;被阉割;柔弱的	emasculated
翻译：n.阉割;去势;柔弱	emasculation
翻译：vt.以药物防腐;铭记于心;使不朽	embalm
翻译：vt.以堤围绕;筑堤围堵;以堤防堵挡	embank
翻译：n.堤防;筑堤	embankment
翻译：n.封港令;禁运 vt.禁止出入港口;禁运NUM	embargo
翻译：vi.乘船;着手;从事;上飞机 vt.使上船;使上飞机;使从事	embark
翻译：n.乘船;搭机;开船	embarkation
翻译：vt.使困窘;使局促不安;阻碍	embarrass
翻译：adj.不好意思	embarrassed
翻译：n.困难;阻碍;困窘	embarrassment
翻译：n.大使馆;大使及其随员	embassy
翻译：vt.列阵;布阵;整军备战;严阵以待	embattle
翻译：vt.使入湾;成港湾状;围绕	embay
翻译：vt.使插入;使嵌入;深留 v.嵌入	embed
翻译：a.植入的;内含的;深入的	embedded
翻译：vbl.埋入;埋藏	embedding
翻译：n.埋入	embedment
翻译：vt.修饰;装饰;润色	embellish
翻译：n.装饰;润色;修饰	embellishment
翻译：n.灰烬;余烬	ember
翻译：n.馀烬	embers
翻译：vt.盗用;挪用	embezzle
翻译：n.盗用;挪用;侵占	embezzlement
翻译：n.盗用公款者;侵占公款犯	embezzler
翻译：vt.使受苦;使难受;使怨恨;加苦味于NUM	embitter
翻译：vt.用纹章装饰;盛饰;颂扬	emblazon
翻译：n.象征;徽章 vt.用象征表示	emblem
翻译：a.象征的	emblematical
翻译：n.庄稼	emblement
翻译：n.具体化;化身	embodiment
翻译：vt.具体表达;使具体化	embody
翻译：vt.使陷入泥沼;使不能动弹	embog
翻译：vt.使大胆;使有胆量	embolden
翻译：n.加闰日;闰;栓塞	embolism
翻译：n.栓子;栓塞物	embolus
翻译：vt.围绕;环绕;珍爱	embosom
翻译：vt.饰以浮雕花纹;加以浮饰;装饰	emboss
翻译：n.凹凸印刷	embossing
翻译：n.浮雕工作;浮雕;浮凸装饰NUM	embossment
翻译：n.拥抱 vt.拥抱;互相拥抱;包含;收买 vi.拥抱	embrace
翻译：n.笼络陪审员等	embracery
翻译：n.枪眼;炮眼	embrasure
翻译：vt.涂擦药液	embrocate
翻译：n.药液的涂擦;涂擦剂	embrocation
翻译：vt.刺绣;镶边;装饰 vi.绣花	embroider
翻译：n.刺绣品;粉饰;刺绣	embroidery
翻译：vt.使卷入;牵连	embroil
翻译：n.胚胎;胎儿;胚芽	embryo
翻译：n.胚胎学家	embryologist
翻译：n.胚胎学	embryology
翻译：a.胚胎的;象胚胎的	embryonic
翻译：vt. vi.装入(登乘)大客车	embus
翻译：n.司仪;主持人 vt.担任...主持人;主持	emcee
翻译：vt.修订;校勘	emend
翻译：a.可修订的	emendable
翻译：n.修订;修正;校正	emendation
翻译：a.修订的;修正的	emendatory
翻译：n.翡翠;绿宝石;翠绿色 a.翡翠的;翠绿色的	emerald
翻译：vi.浮现;形成;(由某种状态)脱出;(事实)显现出来	emerge
翻译：n.出现;脱出;发生	emergence
翻译：n.紧急事件;紧急需要	emergencies
翻译：n.紧急状况;紧急事件;紧急需要	emergency
翻译：a.紧急的;浮现的;出现的;自然发生的	emergent
翻译：a.名誉退休的;退休的	emeritus
翻译：n.出现;脱出;再现	emersion
翻译：n.爱默生	Emerson
翻译：n.金刚砂	emery
翻译：n.催吐剂 a.引起呕吐的	emetic
翻译：n.EMI百代唱片	emi
翻译：n.移民;侨民 a.移民的;移居的	emigrant
翻译：vi. vt.(使)移居;(使)移民	emigrate
翻译：n.移民;移居	emigration
翻译：n.艾米丽	Emily
翻译：n.显赫;崇高;高处	eminence
翻译：a.显赫的;杰出的;有名的	eminent
翻译：n.酋长;王侯	emir
翻译：n.密使;间谍;使者 a.密使的;间谍的	emissary
翻译：n.发射;射出;发行	emission
翻译：a.发射的;放射性的	emissive
翻译：n.放射率	emissivity
翻译：vt.发出;放射;吐露;散发;发行	emit
翻译：n.由能源所幅射的每单位面积功率	emittance
翻译：n.射极;射极(接头电晶体)	emitter
翻译：n.蚂蚁	emmet
翻译：n.艾美奖NUM	emmy
翻译：a.使柔软的 n.软化剂;缓和剂	emollient
翻译：n.薪水;报酬	emolument
翻译：vi.夸张地作为;表现感情	emote
翻译：n.情绪;激动;强烈的情感	emotion
翻译：a.情绪的;情感的	emotional
翻译：n.感情主义;诉诸感情;	emotionalism
翻译：n.易受感动者;诉诸感情的演讲人	emotionalist
翻译：n.感动性;情绪性	emotionality
翻译：ad.在情绪上	emotionally
翻译：a.不露情感的;没有情感的	emotionless
翻译：n.情感	emotions
翻译：a.使感动的;动感情的;感情的	emotive
翻译：vt.记入名簿上;选任(陪审员)	empanel
翻译：a.感情移入的	empathic
翻译：a.移情作用的	empathy
翻译：n.尾部;尾翼	empennage
翻译：n.皇帝;君主	emperor
翻译：n.强调;加强;重要;强语气	emphasis
翻译：vt.强调;加强语气;着重	emphasise
翻译：n.强调	emphasising
翻译：vt.强调;加强语气;着重	emphasize
翻译：n.强调	emphasizing
翻译：a.语调强的;用力的;强调了的	emphatic
翻译：ad.强调地;用力地	emphatically
翻译：n.肺气肿	emphysema
翻译：n.帝国;帝权	empire
翻译：n.经验主义者;江湖医生	empiric
翻译：a.完全跟据经验的;经验主义的	empirical
翻译：n.经验主义;庸医的医术;经验论	empiricism
翻译：n.经验主义者;庸医;经验论者	empiricist
翻译：n.安放;定位置;位置	emplacement
翻译：vi.乘飞机 vt.使乘飞机;装上飞机	emplane
翻译：n.雇用 vt.雇用;使用;使从事于	employ
翻译：a.称职的;有资格任职的	employable
翻译：pp.使用	employed
翻译：n.职员;员工;受雇人员	employee
翻译：n.雇主;老板	employer
翻译：n.雇用;职业;工作	employment
翻译：vt.放毒药;污染;使蒙受毒害	empoison
翻译：n.商场;大百货商店	emporium
翻译：vt.授予权力;允许;使能够	empower
翻译：n.皇后;女皇帝	empress
翻译：ad.空虚地;虚无地	emptily
翻译：n.空虚;无知	emptiness
翻译：n.空的东西;空物 a.空的;空虚的;空腹的;空洞的 vt.倒空;使变空;使流入 vi.流空	empty
翻译：vt.使成紫色 vi.发紫	empurple
翻译：a.最高天的;九天的;苍天的	empyreal
翻译：n.最高天;九天;苍天	empyrean
翻译：n.扩展内存规范 n.全球邮政特快专递	ems
翻译：n.食火鸟	emu
翻译：vt.效法;尽力赶上;同...竞争	emulate
翻译：n.效法;竞争	emulation
翻译：a.竞争性的;不服输的;好胜的	emulative
翻译：n.竞争者	emulator
翻译：a.竞争性的;富于竞争的;求声名的;好仿效的	emulous
翻译：n.乳化;乳剂化;乳化作用	emulsification
翻译：vt.使成乳化NUM	emulsify
翻译：n.乳状液;乳剂	emulsion
翻译：a.乳剂质的;可榨出油来的;会流出乳状液的	emulsive
翻译：n.N字;半方 prep.在;在...中	en
翻译：vt.使能够	enable
翻译：a.激活的	enabled
翻译：vt.制定法律;扮演;颁布	enact
翻译：n.珐琅;瓷釉 vt.涂以瓷釉;彩饰	enamel
翻译：adj.上釉的	enameled
翻译：adj.上釉的	enamelled
翻译：n.搪瓷器	enamelware
翻译：vt.迷住;使迷恋	enamor
翻译：vt.迷住;使迷恋	enamour
翻译：n.对映结构体	enantiomorph
翻译：n.杵臼关节;全冻关节;球窝关节NUM	enarthrosis
翻译：vt.关在笼中;禁闭;把...关起来	encage
翻译：vi.扎营;露营 vt.使宿营	encamp
翻译：n.露营;宿营	encampment
翻译：vt.装入胶囊;封进内部;压缩 vi.形成胶囊	encapsulate
翻译：encapsulation 封装	encapsulation
翻译：vt.装入;包住	encase
翻译：vt.付现;兑现	encash
翻译：n.脑炎NUM	encephalitis
翻译：n.大脑摄影图	encephalogram
翻译：n.大脑X光照片	encephalograph
翻译：n.大脑摄影法	encephalography
翻译：n.脑;脑髓	encephalon
翻译：vt.束缚;以铁练绑住	enchain
翻译：vt.施魔法;使迷惑	enchant
翻译：adj.被施魔法的	enchanted
翻译：n.行妖术的人;魔法师	enchanter
翻译：a.迷人的;妩媚的;迷惑的	enchanting
翻译：n.魔法;妖术;魅力	enchantment
翻译：n.妖妇;女巫	enchantress
翻译：n.以辣椒调味之一种墨西哥菜	enchilada
翻译：n.橡树的一种	encina
翻译：vt.译成密码	encipher
翻译：n.译成密码	encipter
翻译：vt.环绕;围绕;包围	encircle
翻译：n.环绕;围绕;包围	encirclement
翻译：vt.以钩子钩住;抱紧;握紧	enclasp
翻译：n.被包围的领土	enclave
翻译：vt.围绕;放入封套;装入	enclose
翻译：a.被附上的	enclosed
翻译：n.附件;围墙;围绕	enclosure
翻译：vt.改为密码	encode
翻译：n.译码器NUM	encoder
翻译：n.宣读或写作颂辞之人;赞美者;阿谀者	encomiast
翻译：a.赞颂的;阿谀的	encomiastic
翻译：n.赞辞;称赞;赞美	encomium
翻译：n.再演唱的要求;经要求而再唱 int.再演唱一次! vt.要求再演或唱	encore
翻译：n.相会;相遇;遭遇 vt.遇见;邂逅;会战 vi.偶然相遇	encounter
翻译：vt.鼓励;支持;激励NUM	encourage
翻译：n.鼓励;激励;奖励	encouragement
翻译：a.奖励的;可奖励的	encouraging
翻译：vt.使成鲜红色	encrimson
翻译：vi.侵犯;侵蚀;蚕食	encroach
翻译：n.侵蚀;侵犯	encroachment
翻译：vt.包外壳;镶嵌 vi.长壳	encrust
翻译：v.加密;译成密码	encrypt
翻译：n.加密	encryption
翻译：vt.妨害;阻害;拖累	encumber
翻译：n.阻碍;妨害物;累赘	encumbrance
翻译：n.百科全书	encyclopaedia
翻译：n.百科全书的知识	encyclopaedism
翻译：n.百科全书	encyclopedia
翻译：n.百科全书的知识	encyclopedism
翻译：vt.把...包在囊内 vi.被包在囊内	encyst
翻译：n.结束;终点;目标;末端;梢;死亡;残余 vt. vi.结束;终结;终止 n.端 v.结束	end
翻译：vt.危及	endanger
翻译：vt.使亲密;使受钟爱	endear
翻译：a.引起爱情的;令人钟爱的;可爱的	endearing
翻译：n.亲爱;钟爱	endearment
翻译：n.努力;尽力 vi.努力;尽力	endeavor
翻译：n.努力;尽力 vi.努力;尽力	endeavour
翻译：n.地方病;风土病 a.风土的;地方的	endemic
翻译：n.终止;终了;收场	ending
翻译：n.菊苣	endive
翻译：a.不停的;无穷尽的;无尽的	endless
翻译：ad.不断地;无穷尽地	endlessly
翻译：ad.纵;全长地;直立	endlong
翻译：a.末端的	endmost
翻译：n.尾注	endnote
翻译：n.尾注	endnotes
翻译：a.内分泌的 n.内分泌物;内分泌腺	endocrine
翻译：n.内分泌学	endocrinology
翻译：n.内胚叶;内皮层	endoderm
翻译：n.同组结婚;同部族婚姻	endogamy
翻译：n.内长茎植物;单子叶植物	endogen
翻译：n.内淋巴	endolymph
翻译：n.矮胖子;内容矿物	endomorph
翻译：a.内胚叶性构成的;矮胖的	endomorphic
翻译：n.内部寄生体;体内寄生虫	endoparasite
翻译：n.内质	endoplasm
翻译：vt.支持;赞同;背书于;签	endorse
翻译：n.承受背书票据者;被背书人	endorsee
翻译：n.支持;认可;背书	endorsement
翻译：n.背书人	endorser
翻译：n.内诊镜	endoscope
翻译：n.内骨骼	endoskeleton
翻译：n.内皮细胞层;内覆组织	endothelium
翻译：vt.捐赠;捐助;赋予	endow
翻译：n.捐助;天赋;才能	endowment
翻译：n.书籍卷首及卷尾之空页NUM	endpaper
翻译：vt.授予;赋予;穿上	endue
翻译：a.可忍受的;能忍耐的	endurable
翻译：n.忍耐;忍耐力;耐性	endurance
翻译：a.持久的;忍耐的	enduring
翻译：ad.末端向前地	endways
翻译：n.月之女神所爱的英俊牧童	endymion
翻译：n.灌肠剂	enema
翻译：n.敌人;仇敌;敌军 a.敌人的	enemy
翻译：a.精力充沛的;积极的	energetic
翻译：ad.精力充沛地;积极地	energetically
翻译：n.热力学	energetics
翻译：vt.使活跃;给予精力	energise
翻译：n.活动主义	energism
翻译：vt.使活跃;给予精力	energize
翻译：n.精力;精神;活力;能量	energy
翻译：vt.使衰弱 a.衰弱的;无力的	enervate
翻译：n.削弱精神;衰弱;虚弱	enervation
翻译：vt.写;印或盖在面上	enface
翻译：vt.使衰弱	enfeeble
翻译：vt.授予封地;授予领地;授予采邑;转让	enfeoff
翻译：vt.上脚镣;束缚;使为奴隶	enfetter
翻译：vt.包进;拥抱	enfold
翻译：vt.强迫;执行;坚持	enforce
翻译：n.执行;强制	enforcement
翻译：vt.配上框子;装在框内	enframe
翻译：vt.给予自治权;给予选举权;解放	enfranchise
翻译：vi.答应;从事;交战 vt.使忙碌;雇佣;预定;使从事于;使参加	engage
翻译：a.忙碌的;使用中的	engaged
翻译：n.诺言;约会;婚约;交战NUM	engagement
翻译：a.动人的;迷人的;有魅力的	engaging
翻译：vt.产生;引起 vi.发生;形成	engender
翻译：n.引擎;发动机;机车;机械 vt.安装发动机于	engine
翻译：n.工程师;工兵 vt.设计;监督;机巧地处理;策划	engineer
翻译：n.工程学;工程;操纵	engineering
翻译：n.机器;机械类;兵器	enginery
翻译：vt.使佩带;围绕	engird
翻译：n.英国	England
翻译：n.英语 a.英文的;英国人的	English
翻译：n.英国人	Englishman
翻译：n.英国人	Englishmen
翻译：n.英国风格;英国人作风	Englishness
翻译：n.英国女人;英格兰妇女NUM	Englishwoman
翻译：vi.大吃;充血;贪吃 vt.大吃;狼吞虎咽;使充血	engorge
翻译：vt.使牢记;灌输;嫁接	engraft
翻译：vt.使成锯齿状	engrail
翻译：n.记忆的痕迹	engram
翻译：vt.刻上;雕刻;铭记	engrave
翻译：n.雕刻师;雕工	engraver
翻译：n.雕刻;镌版术;雕版	engraving
翻译：vt.用大字体书写;独占;使全神贯注	engross
翻译：vt.卷入;吸进;投入深渊;吞没;使全神贯注	engulf
翻译：vt.提高;加强;增加	enhance
翻译：adj.增强的	enhanced
翻译：enhancement 增强NUM	enhancement
翻译：n.谜;不可思议的东西	enigma
翻译：a.阴阳怪气的;谜一般的;高深莫测的	enigmatic
翻译：a.难解的;谜一般的;不可思议的	enigmatical
翻译：vt.使成岛;置于岛上;使孤立	enisle
翻译：vt.吩咐;命令;嘱咐;禁止	enjoin
翻译：vt.享受;喜欢;欣赏	enjoy
翻译：a.可享受的;令人愉快的	enjoyable
翻译：ad.可享乐地;有趣地;愉快地	enjoyably
翻译：n.享乐;快乐;享受	enjoyment
翻译：vt.点燃;使燃烧	enkindle
翻译：vt.捆扎;缠绕	enlace
翻译：vt.扩大;增大 vi.扩大;详述	enlarge
翻译：n.放大机;扩大者;增补者NUM	enlarger
翻译：vbl.扩大	enlarging
翻译：vt.授予...知识;启发;启蒙;开导;教导	enlighten
翻译：a.被启发的;进步的;文明的	enlightened
翻译：n.启迪;教化	enlightenment
翻译：vt.征募;参与;谋取 vi.从军;应募;赞助	enlist
翻译：n.征募;服役期间	enlistment
翻译：vt.使活泼;使生动	enliven
翻译：vt.使绊住;使陷入	enmesh
翻译：v.落纲;沉浸;使陷入; vbl.落纲;沉浸;使陷入	enmeshed
翻译：n.敌意;憎恨	enmity
翻译：n.九个一组;九柱之神	ennead
翻译：n.九角形	enneagon
翻译：vt.授予爵位;使高贵	ennoble
翻译：n.倦怠;厌倦	ennui
翻译：n.暴行;极恶;巨大	enormity
翻译：a.巨大的;庞大的	enormous
翻译：ad.非常地;巨大地	enormously
翻译：n.充足;够;很多 a.充足的;足够;只够做...的 ad.足够 int.够了!	enough
翻译：vt.宣言;声明;说出	enounce
翻译：vi.搭乘飞机	enplane
翻译：vi. vt.询问	enquire
翻译：n.询问	enquiry
翻译：vt.激怒;使暴怒	enrage
翻译：a.恍惚迷离的;狂喜的;出神的	enrapt
翻译：vt.使狂喜	enrapture
翻译：vt.把...编成联队	enregiment
翻译：vt.登记;记录	enregister
翻译：vt.使富足;使肥沃	enrich
翻译：n.丰富;肥沃	enrichment
翻译：vt.穿以衣袍	enrobe
翻译：vt.登记;使加入 vi.参军;注册	enrol
翻译：vt.登记;使加入 vi.参军;注册	enroll
翻译：n.登记;注册;入伍	enrollment
翻译：n.登记;注册;入伍	enrolment
翻译：vt.满身染血;血染;使成血红色	ensanguine
翻译：a.满身染血的;血染的	ensanguined
翻译：vt.安顿下来;安置;隐藏	ensconce
翻译：n.全体;合唱曲;女人的全套服装	ensemble
翻译：vt.入庙祀奉;铭记	enshrine
翻译：vt.掩盖;隐蔽	enshroud
翻译：n.国旗;海军少尉;掌旗官;徽章	ensign
翻译：n.未干秣草之保藏;保藏于地窖中的未干秣草 vt.保藏于地窖NUM	ensilage
翻译：vt.保藏于保藏室	ensile
翻译：vt.(使)耸入天空	ensky
翻译：vt.奴役;束缚;沉溺;征服	enslave
翻译：n.奴役人者;迷惑男人的女人;荡妇	enslaver
翻译：vt.以陷阱捕捉;诱入圈套;诱捕	ensnare
翻译：vt.使缠绕NUM	ensnarl
翻译：vt.赋予灵魂	ensoul
翻译：vt.使成球形;包围	ensphere
翻译：vi.跟着发生;继起 vt.追求	ensue
翻译：vt.确定;保证;担保;保护	ensure
翻译：n.纠缠;牵连;铁丝网	entaglement
翻译：vt.使必需;使蒙受;使承担;遗传给 n.限定继承权	entail
翻译：vt.使纠缠;卷入;使混乱	entangle
翻译：n.纠缠;牵连;铁丝网	entanglement
翻译：n.圣猿	entellus
翻译：n.协定;协约	entente
翻译：vt.进入;参加;开始 vi.进去;参加 n.输入;回车	enter
翻译：a.肠的	enteric
翻译：n.肠炎	enteritis
翻译：n.企业;事业心;进取心;干事业	enterprise
翻译：a.有企业精神的;有进取心的;有事业心的	enterprising
翻译：vt.娱乐;招待;怀抱 vi.款待	entertain
翻译：n.表演娱乐节目的人;演艺人员	entertainer
翻译：a.愉快的;有趣的	entertaining
翻译：n.娱乐;款待;娱乐表演	entertainment
翻译：vt.迷惑;奴役;迷住	enthral
翻译：vt.迷惑;奴役;迷住	enthrall
翻译：a.迷人的	enthralling
翻译：vt.立...为王;使登极;任为主教;崇拜	enthrone
翻译：n.即位;登极典礼;就任主教的仪式	enthronement
翻译：vt.热狂;感激;使热心 vi.热心	enthuse
翻译：n.狂热;热心	enthusiasm
翻译：n.热心家;狂热者;爱好者	enthusiast
翻译：a.狂热的;热心的;热烈的	enthusiastic
翻译：ad.热心地;狂热地	enthusiastically
翻译：n.省略推理法;省略三段论法	enthymeme
翻译：vt.诱骗;引诱;怂恿	entice
翻译：n.诱骗;诱饵	enticement
翻译：a.引诱的;迷人的	enticing
翻译：n.整个;全部 a.全体的;完全的;全部的	entire
翻译：ad.完全;全然;一概	entirely
翻译：n.全体;整个;完全	entireness
翻译：n.全部;完全	entirety
翻译：vt.取名为;给予名称;叫做	entitle
翻译：v.给...权力;给与标题;给与名称; vbl.给...权力;给与标题;使有资格	entitled
翻译：n.实体;实存物;存在	entity
翻译：vt.埋葬	entomb
翻译：a.昆虫学的	entomological
翻译：n.昆虫学者	entomologist
翻译：n.昆虫学	entomology
翻译：a.虫媒的	entomophilous
翻译：n.体内寄生虫	entozoan
翻译：n.体内寄生虫	entozoon
翻译：n. pl.内脏;肠;内部	entrails
翻译：vt.使乘火车;拖;产生;导致 vi.乘火车	entrain
翻译：n.入口;进入点;入场;入学;进入;开始;就任 vt.使出神;使入迷	entrance
翻译：a.使人神魂颠倒的;使人入神的	entrancing
翻译：n.新会员;大学新生;进入者	entrant
翻译：vt.骗入;诱捕;使陷入	entrap
翻译：vt. vi.恳求;乞求	entreat
翻译：n.恳求;乞求	entreaty
翻译：n.入场许可;主菜	entree
翻译：vt.围以壕沟;防护;保卫;使盘踞 vi.掘壕;侵犯	entrench
翻译：n.掘壕沟;壕沟;防卫工事	entrenchment
